"name","group","element","units","context","S342169","S342170","S342171","S342172","S342173","S342174","S342175","S342176","S342177","S342178","S342179","S342180","S342181","S342182","S342183","S342184","S342185","S342186","S342187","S342188","S342189","S342190","S342191","S342192","S342193","S342194","S342195","S342196","S342197","S342198","S342199","S342200","S342201","S342202","S342203","S342204","S342205","S342206","S342207","S342208","S342209","S342210","S342211","S342212","S342213","S342214","S342215","S342216","S342217","S342218","S342219","S342220","S342221","S342222","S342223","S342224","S342225","S342226","S342227","S342228","S342229","S342230","S342231","S342232","S342233","S342234","S342235","S342236","S342237","S342238","S342239","S342240","S342241","S342242","S342243","S342244","S342245","S342246","S342247","S342248","S342249","S342250","S342251","S342252","S342253","S342254","S342255","S342256","S342257","S342258","S342259","S342260","S342261","S342262","S342263","S342264","S342265","S342266","S342267","S342268","S342269","S342270","S342271","S342272","S342273"
Alisma,AQVP,pollen,NISP,,,,1,,,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Allium-type,UPHE,pollen,NISP,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,2,,1,,,1,,,
Alnus glutinosa-type,TRSH,pollen,NISP,,107,109,72,81,119,105,127,82,62,47,57,64,61,58,77,87,107,83,52,66,69,57,79,100,135,240,275,181,150,148,163,257,152,117,108,135,116,150,233,261,317,238,192,264,202,321,194,240,268,208,110,178,206,176,230,258,294,180,122,186,125,166,145,87,32,18,19,22,20,19,9,6,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
Alnus viridis,TRSH,pollen,NISP,,1,2,1,2,1,3,1,5,1,,3,2,3,,6,3,4,13,8,9,5,3,9,4,1,2,1,1,5,5,2,,1,3,2,5,6,3,1,2,1,1,1,2,1,2,4,3,1,1,2,2,3,3,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,
Amaranthaceae,UPHE,pollen,NISP,,,1,6,,,2,,,1,2,,1,,1,,,2,1,2,2,1,,1,3,1,1,1,1,,,1,,,1,1,,1,1,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,3,3,5,3,1,4,1,3,,,,1,,1,1,2,1,,5,2,2,8,5,6,9,11,9,5,9,3,6,4
Ambrosia,UPHE,pollen,NISP,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Androsace,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Anemone nemorosa-type,UPHE,pollen,NISP,,,,,,2,,2,1,,1,1,1,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthoceros laevis,UPBR,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthoceros punctatus,UPBR,spore,NISP,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthriscus sylvestris-type,UPHE,pollen,NISP,,,,1,,1,,1,,1,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,
Apiaceae,UPHE,pollen,NISP,,,,,1,1,,,,1,,,,,,1,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,1,,1,1,2,,,1,,1,,,1,,,,2,1,1,,4,,2,,,,1,,,,,,1,
Apium,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Archerella flavum,TEAM,palynomorph,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Artemisia,UPHE,pollen,NISP,,2,3,2,2,1,2,1,6,1,1,2,2,1,1,1,,1,5,8,6,9,3,8,5,2,4,1,3,1,,3,,,2,3,1,2,3,2,2,2,1,1,1,2,2,8,4,6,2,1,2,1,1,5,4,1,1,,3,3,2,1,1,,1,1,,1,,1,3,7,23,36,37,36,41,33,13,42,5,10,10,4,16,15,17,15,6,14,57,63,59,100,84,67,71,87,90,78,63,25,7,17
Aruncus-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aster-type,UPHE,pollen,NISP,,,2,1,2,,,1,,1,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,1,,,,1,1,,,,,
Asteroideae,UPHE,pollen,NISP,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
Astragalus alpinus-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Astrantia-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Athyrium filix-femina,VACR,spore,NISP,,1,,1,,,,,1,1,,,1,,1,,,,,2,,2,,,1,1,1,,1,1,,,,1,3,1,1,1,3,1,,1,2,1,1,1,,2,2,,,1,,1,,,,1,,,,1,1,1,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartsia-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berberis vulgaris,TRSH,pollen,NISP,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berula erecta,UPHE,pollen,NISP,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betula,TRSH,pollen,NISP,,65,54,30,33,31,28,32,35,18,15,15,15,21,29,26,74,115,129,46,52,58,59,51,67,38,70,24,17,22,82,73,214,54,31,100,133,53,72,139,135,112,59,69,63,123,127,52,55,160,81,10,105,62,147,246,96,253,105,167,47,10,14,25,4,9,11,8,12,21,45,74,251,466,196,193,97,104,75,75,29,139,209,285,178,410,356,405,361,304,304,45,95,105,81,72,94,102,66,99,44,34,5,3,,
Betula nana,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,7,2,4,5,2,2,6,6,9,3,7,3,9,6,12,4,2,6,10,11,15,14,19,55,60,55,43,22,13,4,4
Bidens-type,UPHE,pollen,NISP,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bistorta vivipara,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Blechnum spicant,VACR,spore,NISP,,,,,,,,,,1,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bombardioidea sp. (type 575, HdV),FUNG,palynomorph,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Botrychium,VACR,spore,NISP,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brassicaceae,UPHE,pollen,NISP,,4,4,1,3,1,1,5,4,4,4,1,1,2,2,2,3,1,2,1,,2,,,,,1,2,,,,,,1,,1,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,1,,1,,2,3,2,4,12,7,5,4,3,2,9
Bupleurum-type,UPHE,pollen,NISP,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,2,,1,,,,,,
Buxus sempervirens,TRSH,pollen,NISP,,,1,1,,,,,,,,1,,,,,,,,1,,2,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calluna vulgaris,TRSH,pollen,NISP,,,1,1,,1,,,1,2,1,1,1,1,1,,1,1,3,,,2,1,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caltha-type,UPHE,pollen,NISP,,,1,,,,,,1,1,1,2,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Campanula,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannabis sativa,UPHE,pollen,NISP,,1,4,4,13,41,55,93,83,78,52,24,26,29,37,20,30,64,60,72,93,345,227,74,119,69,78,13,2,2,2,1,,5,1,,1,1,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carduus,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,1,,,,
Carpinus betulus,TRSH,pollen,NISP,,10,9,4,5,9,11,8,10,7,2,5,4,14,2,10,15,24,8,3,7,12,5,3,11,12,14,8,16,13,17,11,13,3,2,4,2,1,,,,1,2,1,1,,,2,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carum carvi,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Caryophyllaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Castanea sativa,TRSH,pollen,NISP,,4,1,2,3,2,3,5,5,1,3,9,1,4,4,3,1,3,2,2,1,,,,2,1,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedrus,TRSH,pollen,NISP,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centaurea cyanus,UPHE,pollen,NISP,,,,,1,,1,,,1,,1,,,,,,,,,,1,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centaurea nigra-type,UPHE,pollen,NISP,,,,,1,1,1,,,1,2,,1,,,,,,1,,,,,,,,,,,,,,,1,1,,,,1,1,1,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centaurea scabiosa,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,1,2,1,,1,,,1,1,,,,
Centaurium,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerastium arvense-type,UPHE,pollen,NISP,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,
Cerastium cerastoides-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceratophyllum,AQVP,leaf spine,NISP,,1,,3,,,,1,,1,,,,,,,,,,,,,,1,2,,1,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cercophora-type,FUNG,spore,NISP,,,2,,,,,,1,1,1,1,1,,,1,,1,1,2,,,,,,,1,,,,,,,,1,1,,,1,,,,,,,,,1,1,,,,,,,,1,,1,1,,,,,,,,,,,,,,,2,,1,1,1,1,,,,,,1,,1,,,,,,,,1,,,,2,,1,1,,,
Chaerophyllum hirsutum-type,UPHE,pollen,NISP,,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,1,,,,,,,1,,,,,1,1,,,1,2,1,,,,,,,,,,,,,1,1,1,,2,2,4,2,2,,1,,1,,1,,,,,,,,,,,,,,,,,,,,
Charcoal,CHAR,>10 µm,particles/ml,,667.1179487,1630.175439,2529.759162,8378.032787,7372.165289,13473.4,11090.45161,4824.692308,5190.126126,5309.714286,2952.072617,3468.242613,3093.241744,3297.57359,4625.165919,9484.780083,16261,36294.92617,27876,25266.91626,15034.24719,10103.32784,9676.405136,12029.82143,6770.552764,6393.577982,7539.148073,12633.85965,5063.760218,2257.165992,5592.407407,3354.512635,2111.818182,3792.653061,4108.707483,11873.11111,5346.587302,11788.35821,4099.411765,14801.41593,1966.560847,16242.11382,5522.603774,4173.946524,8577.230769,4806.206897,2654.857143,3084.153191,3418.754717,7073.014925,3859.753846,7489.074627,14091.16484,31628.53846,53953.54839,78202.4698,33102.75,87112.5,55752,55752,8802.947368,19727.63077,8447.272727,1889.898305,4129.777778,7433.6,4505.212121,6671.179487,14495.52,15486.66667,23230,35840.57143,21863.52941,3959.659091,3616.345946,3530.96,5194.285714,7836.626506,8140.778761,11862.12766,4444,10809.06122,13567.9646,37458.375,33451.2,36745.63636,14262.13953,6637.142857,2944,8664.162162,6969,1698.030457,1871.769784,3339.3125,1803.741176,418.2893891,954.9090909,568.8979592,1394.67167,2025.504087,1127.788918,686.8829569,345.8199052,347.4666667,380.2066869
Charcoal,CHAR,>10 µm,particles/cm^2/yr,,195.6357621,478.0573134,739.6956615,2435.474647,2130.68361,3860.573066,3141.770995,1351.454428,1433.736499,1446.788634,791.44038,912.6954244,799.2872723,834.828757,1147.683851,2313.360996,3871.666667,8305.475097,6020.734341,5083.886571,2804.896864,1721.180212,1497.895532,1684.84894,855.9485163,729.8605002,777.2317601,1177.433332,432.8000186,181.5901844,433.5199541,255.6793167,161.4539894,296.5326866,335.4046925,1027.974988,488.2728129,1124.843341,404.6803322,1493.583848,200.4649181,1652.30049,553.3671116,406.8174,808.4100631,432.6018809,224.9878935,239.4528875,238.2407468,436.0675046,208.635343,352.9252887,603.9933491,1269.202988,2048.350356,2854.104737,1178.872863,3078.180212,2000.430571,2013.434453,299.9300637,583.830446,214.0175507,43.46592238,94.20113544,183.0485102,124.1105268,199.1396862,476.1215306,497.6435304,730.3883037,1159.138791,764.325447,151.1608739,148.5152339,150.7025181,225.104473,336.6971646,338.6347238,481.5152287,175.1675207,411.852209,497.7243067,1319.886364,1140.122699,1219.569743,463.9602972,212.9336817,93.71319433,275.2712363,222.1195219,54.81938521,61.1689472,112.7194093,62.3053947,15.80836693,41.30229632,29.89479554,89.23043313,151.0443018,91.17129492,54.86285598,15.98797528,12.25631981,13.12868394
Cichorioideae,UPHE,pollen,NISP,,,4,1,5,3,2,6,,2,2,4,5,1,3,1,2,2,1,,1,1,2,1,,,,,1,1,,,,,,,,,,,1,,1,,,,1,,1,1,1,,,,1,,1,,1,,,,1,,,,,,,,1,1,,1,2,1,,1,3,1,,1,,,,1,,,,,,,3,5,1,1,2,3,1,2,3,2,3,,1,1
Cicuta virosa,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cirsium,UPHE,pollen,NISP,,,,,,,,,,,1,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cladium mariscus,AQVP,pollen,NISP,,,1,1,2,2,,,1,1,,,,,,,,1,2,1,,,1,1,1,,,,2,,1,,,3,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coelastrum polychordum,ALGA,palynomorph,NISP,,22,355,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coelastrum reticulatum,ALGA,palynomorph,NISP,,408,937,305,148,264,458,556,393,208,320,3,,,,,,,1,,,,,,1,,,,,,,,,,1,,,1,,,1,,,2,2,1,53,1,83,,,2,1,1,,,,,,1,,2,,364,,,,,,4300,3007,462,243,2788,552,16,88,,2,3,,24,,3,,,,,,,,,,,,,,,,,,,,,,
Consolida-type,UPHE,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus sanguinea,TRSH,pollen,NISP,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corylus avellana,TRSH,pollen,NISP,,19,36,34,49,71,48,56,50,27,16,20,23,39,26,59,59,83,105,60,75,126,89,102,90,90,100,68,43,48,64,93,133,92,70,51,103,58,128,117,105,119,71,93,124,144,213,130,83,79,88,60,101,110,100,157,190,166,179,118,156,91,158,165,199,229,265,224,405,788,861,535,390,1,,,,,3,,,,,,,,,,,1,,,,,,,,,,3,,,,,,
